prover,problems_solved,time
z3,84,0.0741
z3,85,0.0742
z3,86,0.0743
z3,87,0.0749
z3,88,0.0755
z3,89,0.0764
z3,90,0.0766
z3,91,0.0769
z3,92,0.0770
z3,93,0.0773
z3,94,0.0773
z3,95,0.0784
z3,96,0.0805
z3,97,0.0808
z3,98,0.0812
z3,99,0.0825
z3,100,0.0826
z3,101,0.0829
z3,102,0.0836
z3,103,0.0840
z3,104,0.0846
z3,105,0.0858
z3,106,0.0875
z3,107,0.0893
z3,108,0.0898
z3,109,0.0906
z3,110,0.0918
z3,111,0.0929
z3,112,0.0930
z3,113,0.0931
z3,114,0.0959
z3,115,0.0979
z3,116,0.1041
z3,117,0.1063
z3,118,0.1072
z3,119,0.1088
z3,120,0.1101
z3,121,0.1111
z3,122,0.1153
z3,123,0.1165
z3,124,0.1179
z3,125,0.1182
z3,126,0.1225
z3,127,0.1255
z3,128,0.1273
z3,129,0.1308
z3,130,0.1353
z3,131,0.1393
z3,132,0.1401
z3,133,0.1409
z3,134,0.1425
z3,135,0.1426
z3,136,0.1442
z3,137,0.1514
z3,138,0.1546
z3,139,0.1579
z3,140,0.1717
z3,141,0.1745
z3,142,0.1905
z3,143,0.1984
z3,144,0.2008
z3,145,0.2027
z3,146,0.2054
z3,147,0.2164
z3,148,0.2266
z3,149,0.2746
z3,150,0.2930
z3,151,0.3324
z3,152,0.4144
z3,153,0.4174
z3,154,0.4715
