kb,problem,level,pct,type,expected,vampire,vampire_t,z3,pass
GEO,GEO_C06,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,,True
GEO,GEO_C06,empty,100%,CONFLICT,Unknown,Unknown,10.07,,True
GEO,GEO_C07,full,0%,CONFLICT,Theorem,Theorem,0.07,,True
GEO,GEO_C07,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,,True
GEO,GEO_C07,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,,True
GEO,GEO_C07,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,,True
GEO,GEO_C07,empty,100%,CONFLICT,Unknown,Unknown,10.07,,True
GEO,GEO_C08,full,0%,CONFLICT,Theorem,Theorem,0.07,,True
GEO,GEO_C08,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,,True
GEO,GEO_C08,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,,True
GEO,GEO_C08,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,,True
GEO,GEO_C08,empty,100%,CONFLICT,Unknown,Unknown,10.07,,True
GEO,GEO_M01,full,0%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M01,pct25,25%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M01,pct50,50%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M01,pct75,75%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M01,empty,100%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M02,full,0%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M02,pct25,25%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M02,pct50,50%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M02,pct75,75%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M02,empty,100%,COMPAT,Theorem,Theorem,0.09,,True
GEO,GEO_M03,full,0%,COMPAT,Theorem,Theorem,0.08,,True
GEO,GEO_M03,pct25,25%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M03,pct50,50%,COMPAT,Theorem,Theorem,0.08,,True
GEO,GEO_M03,pct75,75%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M03,empty,100%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M04,full,0%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M04,pct25,25%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M04,pct50,50%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M04,pct75,75%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M04,empty,100%,COMPAT,Theorem,Theorem,0.08,,True
GEO,GEO_M05,full,0%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M05,pct25,25%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M05,pct50,50%,COMPAT,Theorem,Theorem,0.06,,True
GEO,GEO_M05,pct75,75%,COMPAT,Theorem,Theorem,0.07,,True
GEO,GEO_M05,empty,100%,COMPAT,Theorem,Theorem,0.06,,True
