benchmark,name,prover,encoding,expected,actual,match,time_s,error
ODRL010,leq-transitivity,vampire,tptp,Theorem,Theorem,True,0.131,
ODRL010,leq-transitivity,z3,smt2,unsat,unsat,True,0.129,
ODRL011,isPartOf-europe-eq-germany-compatible,vampire,tptp,Theorem,Theorem,True,0.069,
ODRL011,isPartOf-europe-eq-germany-compatible,z3,smt2,unsat,unsat,True,0.073,
ODRL012,eq-germany-eq-france-conflict,vampire,tptp,Theorem,Theorem,True,0.068,
ODRL012,eq-germany-eq-france-conflict,z3,smt2,unsat,unsat,True,0.069,
ODRL013,isPartOf-wE-isPartOf-eE-conflict,vampire,tptp,Theorem,Theorem,True,0.067,
ODRL013,isPartOf-wE-isPartOf-eE-conflict,z3,smt2,unsat,unsat,True,1.116,
ODRL014,hasPart-germany-isPartOf-europe-compatible,vampire,tptp,Theorem,Theorem,True,0.063,
ODRL014,hasPart-germany-isPartOf-europe-compatible,z3,smt2,unsat,unsat,True,0.070,
ODRL015,hasPart-germany-eq-poland-conflict,vampire,tptp,Theorem,Theorem,True,0.066,
ODRL015,hasPart-germany-eq-poland-conflict,z3,smt2,unsat,unsat,True,0.074,
ODRL016,neq-germany-isPartOf-wE-compatible,vampire,tptp,Theorem,Theorem,True,0.065,
ODRL016,neq-germany-isPartOf-wE-compatible,z3,smt2,unsat,unsat,True,0.069,
ODRL017,neq-germany-eq-germany-conflict,vampire,tptp,Theorem,Theorem,True,0.066,
ODRL017,neq-germany-eq-germany-conflict,z3,smt2,unsat,unsat,True,0.067,
ODRL018,isPartOf-wE-hasPart-bavaria-compatible,vampire,tptp,Theorem,Theorem,True,0.065,
ODRL018,isPartOf-wE-hasPart-bavaria-compatible,z3,smt2,unsat,unsat,True,0.071,
ODRL019,isPartOf-nE-isPartOf-sE-conflict,vampire,tptp,Theorem,Theorem,True,0.067,
ODRL019,isPartOf-nE-isPartOf-sE-conflict,z3,smt2,unsat,unsat,True,0.725,
