benchmark,name,prover,encoding,expected,actual,match,time_s,error
ODRL010,leq-transitivity,vampire,tptp,Theorem,Theorem,True,0.061,
ODRL010,leq-transitivity,z3,smt2,unsat,unsat,True,0.066,
ODRL011,isPartOf-europe-eq-germany-compatible,vampire,tptp,Theorem,Theorem,True,0.090,
ODRL011,isPartOf-europe-eq-germany-compatible,z3,smt2,unsat,unsat,True,0.096,
ODRL012,eq-germany-eq-france-conflict,vampire,tptp,Theorem,Theorem,True,0.177,
ODRL012,eq-germany-eq-france-conflict,z3,smt2,unsat,unsat,True,0.135,
ODRL013,isPartOf-wE-isPartOf-eE-conflict,vampire,tptp,Theorem,Theorem,True,0.123,
ODRL013,isPartOf-wE-isPartOf-eE-conflict,z3,smt2,unsat,unsat,True,0.982,
ODRL014,hasPart-germany-isPartOf-europe-compatible,vampire,tptp,Theorem,Theorem,True,0.063,
ODRL014,hasPart-germany-isPartOf-europe-compatible,z3,smt2,unsat,unsat,True,0.063,
ODRL015,hasPart-germany-eq-poland-conflict,vampire,tptp,Theorem,Theorem,True,0.061,
ODRL015,hasPart-germany-eq-poland-conflict,z3,smt2,unsat,unsat,True,0.065,
ODRL016,neq-germany-isPartOf-wE-compatible,vampire,tptp,Theorem,Theorem,True,0.059,
ODRL016,neq-germany-isPartOf-wE-compatible,z3,smt2,unsat,unsat,True,0.062,
ODRL017,neq-germany-eq-germany-conflict,vampire,tptp,Theorem,Theorem,True,0.058,
ODRL017,neq-germany-eq-germany-conflict,z3,smt2,unsat,unsat,True,0.059,
ODRL018,isPartOf-wE-hasPart-bavaria-compatible,vampire,tptp,Theorem,Theorem,True,0.059,
ODRL018,isPartOf-wE-hasPart-bavaria-compatible,z3,smt2,unsat,unsat,True,0.063,
ODRL019,isPartOf-nE-isPartOf-sE-conflict,vampire,tptp,Theorem,Theorem,True,0.061,
ODRL019,isPartOf-nE-isPartOf-sE-conflict,z3,smt2,unsat,unsat,True,0.904,
ODRL020,isAnyOf-wE-nE-eq-germany-compatible,vampire,tptp,Theorem,Theorem,True,0.063,
ODRL020,isAnyOf-wE-nE-eq-germany-compatible,z3,smt2,unsat,unsat,True,0.060,
ODRL021,isNoneOf-eE-sE-isPartOf-wE-compatible,vampire,tptp,Theorem,Theorem,True,0.068,
ODRL021,isNoneOf-eE-sE-isPartOf-wE-compatible,z3,smt2,unsat,unsat,True,0.065,
ODRL022,isNoneOf-europe-isPartOf-wE-conflict,vampire,tptp,Theorem,Theorem,True,0.059,
